Titulo;Anio;Genero;Duracion;Reparto 
Meus 533 Filhos;2012;Comédia, Drama, Romance;108 minutos;Antoine Bertrand,David Michael,Dominic Philie,Igor Ovadis,Julie LeBreton,Marc Bélanger,Patrick Huard,Patrick Martin,Ken Scott
O Impostor;1997;Drama, Policial;97 minutos;Chris Penn,Ellen Burstyn,Mark Damon,Michael Parks,Michael Rooker,Renée Zellweger,Rosanna Arquette,Tim Roth,Jonas Pate,Josh Pate
Fire Force - 2ª Temporada;2019;Animação, Ação, Drama;24 episódios;Aoi Yuki,Ayaka Asai,Daisuke Sakaguchi,Gakuto Kajiwara,Hiroki Yasumoto,Tatsumi Minakawa
Ecologia;1973;Documentário, Curta-Metragem;10 minutos;Não Disponível,Leon Hirszman
A Audácia é a Minha Lei;1955;Clássico, Ação, Romance, Western;83 minutos;Anthony Caruso,Chubby Johnson,Coleen Gray,John Payne,Leo Gordon,Morris Ankrum,Rhonda Fleming,Ronald Reagan,Allan Dwan
A Maldição do Boneco Robert;2016;Terror, Suspense;83 minutos;Bobby Cole,Chris Bell,Jason Homewood,Lee Bane,Nigel Barber,Richard Burman,Suzie Frances Garton,Tiffany Ceri,Andrew Jones
Kaleb - O Cão Herói;2020;Drama;93 minutos;August Maturo,Ayelet Zurer,Hans Peterson,Ken Duken,Levente Molnár,Lois Robbins,Peter Linka,Rebeka Rea,Lynn Roth
A Procura da História de Jesus;1979;Documentários, Fé e Espiritualidade;47 minutos;Andrew Bloch,Annette Charles,Brad Crandall,John Anderson,John Rubinstein,Morgan Brittany,Nehemiah Persoff,Walter Brooke,Henning Schellerup
O Vinho Perfeito;2014;Comédia, Suspense;92 minutos;Daniela Virgilio,Erika Blanc,Gioele Dix,Giovanna Mezzogiorno,Lambert Wilson,Pietro Sermonti,Stefano Cassetti,Vincenzo Amato,Ferdinando Vicentini Orgnani
Matrimônio - Amor e Fidelidade - O Sentido da Família e do Matrimônio;2015;Fé e Espiritualidade;59 minutos;Prof. Felipe Aquino,Carlos Eduardo da Silva
Últimas Conversas;2015;Documentários;88 minutos;Eduardo Coutinho,Eduardo Coutinho
Roupa Nova - Todo Amor do Mundo;2016;Shows, MPB;106 minutos;Roupa Nova,Marcelo Amiky
Partiu?! - 1ª Temporada;2013;Drama;4 episódios;Giorgio Donatto,Gustavo Acioli,Juliana Silva,Leonardo Machado,Pedro Saul,Bruno Carvalho
Querido John;2010;Drama, Romance;107 minutos;Amanda Seyfried,Channing Tatum,Cullen Moss,D.J. Cotrona,Henry Thomas,Keith Robinson,Richard Jenkins,Scott Porter,Lasse Hallström
A Última Jornada;2019;Drama, Fantasia, Ficção Científica, Suspense;87 minutos;Aneta Piotrowska,Anna Wilson-Jones,Flynn Allen,Jennifer Scott,Lowri Walton,Luke Goss,Matilda Freeman,Peter Guinness,Perry Bhandal
Swing e Simpatia - Toda Noite - Ao Vivo;2006;Shows, Samba / Pagode;75 minutos;Anderson Becker,Dudu Oliveira,Luciano Becker,Maicon Simpatia,Sandro Becker,Thigu Danda,João Elias Jr.
O Encontro;2014;Drama;121 minutos;Ben Vereen,Jena Malone,Jeremy Strong,Kyra Sedgwick,Michael Buscemi,Richard Gere,Steve Buscemi,Oren Moverman
Cine Paissandu - Histórias De Uma Geração;2013;Documentário, Curta-Metragem;14 minutos;Não Disponível,Christian Jafas
Papillon;2017;Aventura, Drama;132 minutos;Charlie Hunnam,Eve Hewson,Ian Beattie,Michael Socha,Rami Malek,Roland Møller,Tommy Flanagan,Yorick van Wageningen,Michael Noer
Flash Gordon Conquista o Universo;1940;Clássico, Ação, Aventura, Ficção Científica;234 minutos;Anne Gwynne,Buster Crabbe,Carol Hughes,Charles Middleton,Herbert Rawlinson,John Hamilton,Shirley Deane,Tom Chatterton,Ford Beebe,Ray Taylor
Pelé - Um Rei Desconhecido;2017;Documentários, Biografia;38 minutos;Não Disponível,Ernesto Rodrigues
O Apóstolo Pedro e a Última Ceia;2012;Drama, Fé e Espiritualidade;92 minutos;Bruce Marchiano,David Kallaway,Knox Collier,Laurence Fuller,Leon Melas,Robert Loggia,Ryan Alosio,Sarah Prikryl,Gabriel Sabloff
A Roda da Fortuna;1953;Romance, Clássico, Musical;170 minutos;Cyd Charisse,Fred Aldrich,Fred Astaire,Jack Buchanan,James Mitchell,Nanette Fabray,Oscar Levant,Robert Gist,Vincente Minnelli
Ana Carolina - #AC Ao Vivo;2015;Shows, MPB;83 minutos;Ana Carolina,Monique Gardenberg
O Desaparecimento de Cara Cook;2018;Suspense, Drama;81 minutos;Jacqueline Byers,Joris Jarsky,Michael Xavier,Richard Clarkin,Torri Higginson,Jordan Canning,Kris Booth,Renuka Jeyapalan
Topo Gigio - 1ª Temporada;1975;Animação, Infantil;3 episódios;Topo Gigio,Kon Ichikawa
Quatro Amigas e um Jeans Viajante;2005;Comédia, Romance;118 minutos;Alexis Bledel,Amber Tamblyn,America Ferrera,Blake Lively,Bradley Whitford,Jenna Boyd,Michael Rady,Nancy Travis,Ken Kwapis
Bedevilled;2010;Drama, Policial;117 minutos;Jeong-hak Park,Ji-eun Lee,Min Je,Min-ho Hwang,Seo Young-Hee,Seong-Won Ji,Chul-soo Yang
Enquanto Houver Esperança;2016;Romance, Drama;111 minutos;Jason London,Jessica Cherniak,Katya Martín,Matthew Rauch,Quinton Aaron,Sean Patrick Flanery,Shad Gaspard,Valerie Cruz,Rudy Luna
Os Selvagens;2006;Terror;94 minutos;Adam Deacon,Alex Reid,Lenora Crichlow,Luke Neal,Sean Pertwee,Stephen Wight,Toby Kebbell,Michael J. Bassett
Olhos Famintos 3;2017;Terror, Suspense;101 minutos;Brandon Smith,Chester Rushing,Gabrielle Haugh,Jason Bayle,Jordan Salloum,Meg Foster,Ryan Moore,Stan Shaw,Victor Salva
Esteros;2016;Drama, Romance;86 minutos;Blas Finardi Niz,Esteban Masturini,Felipe Titto,Ignacio Rogers,Joaquín Parada,Marcelo Subiotto,Maria Merlino,Pablo Cura,Renata Calmon,Papu Curotto
90 Minutos;2012;Drama;88 minutos;Aksel Hennie,André Bjørn Røine,Annmari Kastrup,Bjørn Floberg,Caisanne Lund,Fred Heggland,Mads Ousdal,Ola Færden,Pia Tjelta,Eva Sørhaug
Monster Hunter;2020;Ação, Aventura, Fantasia, Ficção Científica;103 minutos;Diego Boneta,Josh Helman,Meagan Good,Milla Jovovich,Nanda Costa,Ron Perlman,T.I.,Tony Jaa,Paul W.S. Anderson
O Mágico Inesquecível;1978;Aventura, Clássico, Infantil;134 minutos;Diana Ross,Lena Horne,Mabel King,Michael Jackson,Nipsey Russell,Ted Ross,Thelma Carpenter,Theresa Merritt,Sidney Lumet
Vic o Viking e a Espada Mágica;2019;Animação, Ação, Aventura;81 minutos;Dan Russell,David Goudge,David Schaal,Declan Miele-Howell,Owen Frost,Roland Stone,Simon Fellows,Tim Bentinck,Violet Tucker Steel,Éric Cazes
Onze Homens e um Segredo;2001;Policial, Suspense;116 minutos;Andy Garcia,Brad Pitt,Casey Affleck,Don Cheadle,George Clooney,Julia Roberts,Matt Damon,Scott Caan,Steven Soderbergh
O Atirador - O Fim de um Assassino;2020;Ação;95 minutos;C. Ernst Harth,Chad Michael Collins,Lochlyn Munro,Michael Jonsson,Ryan Robbins,Sasha Piltsin,Sayaka Akimoto,Tom Berenger,Kaare Andrews
Desejos do Coração;2009;Drama, Fé e Espiritualidade;46 minutos;Cameron Wofford,Dodie Brown,Hevin Hampton,Kip Cummings,Max W. Jenkins,Parker Dash,Robert Collier,Tammi Arender,Rodney Ray
Armando Carreirão;2009;Curta-Metragem;15 minutos;Armando Carreirão,Marcia Paraiso
Atos de Deus;2006;Documentários, Fé e Espiritualidade;44 minutos;Angelo Perez,Bryant Gumbel,Constance Brenneman,Esperanza Catubig,Kenda Benward,Lydia Boland,Molly Rose Meredith,Michael Bouson
Eduardo Costa - De Pele, Alma e Coração - Ao Vivo;2010;Shows, Sertanejo;108 minutos;Eduardo Costa,Santiago Ferraz
Leila Pinheiro e Roberto Menescal - Agarradinhos;2006;Shows, MPB;64 minutos;Leila Pinheiro,Roberto Menescal,Roberto de Oliveira
Wallander - 2ª Temporada;2010;Policial, Drama;3 episódios;Barnaby Kay,David Wagner,Jeany Spark,Kenneth Branagh,Sadie Shimmin,Sarah Smart,Tom Beard,Tom Hiddleston,Benjamin Caron,Niall MacCormick,Philip Martin (IV)
O Crematório;2010;Suspense, Drama;86 minutos;Brad Dourif,Carly Craig,Daniel Baldwin,Debbon Ayer,Jeremy Sumpter,Sam Ingraffia,Scott Elrod,Staci Keanan,Justin Steele
Clarisse ou Alguma Coisa Sobre Nós Dois;2015;Drama, Fantasia, Terror;79 minutos;David Wendefilm,Débora Ingrid,Everaldo Pontes,Sabrina Greve,Tabata Nery,Veronica Cavalcanti,Petrus Cariry
Caminho da Liberdade;2010;Aventura, Drama, História;129 minutos;Alexandru Potocean,Anton Trendafilov,Colin Farrell,Ed Harris,Igor Gnezdilov,Jim Sturgess,Mark Strong,Sally Edwards,Peter Weir
2000 Nordestes - O Que Era Realidade Não é Mais Uma Realidade;2001;Documentários;65 minutos;Não Disponível,David França Mendes,Vicente Amorim
Retrato do Amor;2019;Drama, Romance;108 minutos;Akash Sinha,Brinda Trivedi,Denzil Smith,Lubna Salim,Nawazuddin Siddiqui,Sachin Khedekar,Sanya Malhotra,Shihaan Bakshi,Ritesh Batra
A Meta - 1ª Temporada;2012;Documentários;4 episódios;Gaba,Johnny Hoffmann,Maurício Brenner
O Livro do Amor;2016;Drama, Romance;106 minutos;Bryan Batt,Jason Sudeikis,Jessica Biel,Maisie Williams,Mary Steenburgen,Orlando Jones,Paul Reiser,Richard Robichaux,Bill Purple
Encontro de Assassinos;2012;Suspense, Policial;117 minutos;Ángel Hidalgo,Diego Rodeiro,Julio Jordán,Manuel de Blas,María Casal,Patricia García Méndez,Rodolfo Sancho,Fernando J. Múñez
Departamento Q - Uma Conspiração de Fé;2016;Policial, Drama, Suspense;111 minutos;Fares Fares,Jacob Lohmann,Jakob Oftebro,Johanne Louise Schmidt,Michael Brostrup,Nikolaj Lie Kaas,Pal Sverre Hagen,Soren Pilmark,Hans Petter Moland
Demônios e Maravilhas;1987;Documentários, Suspense;49 minutos;Carmen Mojica,José Mojica Marins,Nilcemar Leyart,Oscar Marcil,Zé do Caixão
O Diário de uma Camareira;1964;Clássico, Drama;97 minutos;Daniel Ivernel,Françoise Lugagne,Georges Géret,Jean Franval,Jean-Claude Carrière,Jeanne Moreau,Michel Piccoli,Muni,Luis Buñuel
O Idealista;2015;Suspense;109 minutos;Arly Jover,Claus Bue,Hans Henrik Clemensen,Jens Albinus,Larry Jack Dotson,Peter Plaugborg,Søren Malling,Thomas Bo Larsen,Christina Rosendahl
Mundo Bita - Bita e o Nosso Dia;2015;Shows, Infantil;31 minutos;Bita,Mundo Bita,Chaps Melo
Adriana - Ao Vivo;2007;Shows, Católico;66 minutos;Adriana,Ir. Maura Feix
Fronteiras Hostis;2015;Drama, Suspense;83 minutos;Julio Cedillo,Roberto Urbina,Veronica Sixtos,Michael Dwyer
Assassino em Série;2017;Suspense, Ação;124 minutos;Chao Deng,Ethan Juan,Jingfei Guo,Kar Yan Lam,Shi Shi Liu,Vicky Chen,Xu Jizhou
Aprendendo Com as Histórias de Padre Léo Vol. II;2010;Fé e Espiritualidade;75 minutos;Padre Léo,Carlos Eduardo da Silva
Relação Explosiva;2012;Ação, Comédia, Romance;99 minutos;Bradley Cooper,Dax Shepard,Joy Bryant,Kal Bennett,Kristen Bell,Kristin Chenoweth,Michael Rosenbaum,Tom Arnold,David Palmer,Dax Shepard
Ele;2007;Animação, Curta-Metragem, Ficção;13 minutos;Não Disponível,Não Disponível
Cyrano Mon Amour;2018;Comédia, Drama;112 minutos;Alice de Lencquesaing,Clémentine Célarié,Igor Gotesman,Lucie Boujenah,Mathilde Seigner,Olivier Gourmet,Thomas Solivérès,Tom Leeb,Alexis Michalik
No Balanço das Coisas;2020;Comédia;93 minutos;Adelaide Kane,Chord Overstreet,Dot-Marie Jones,Jon Lovitz,Linda Purl,Luke Wilson,Matt Mccoy,Natalia Janoszek,Matt Shapira
O Corpo é Nosso;2018;Documentários;85 minutos;Oscar Magrini,Renato Góes,Roberta Rodrigues,Theresa Jessouroun
Despedaçado;2017;Drama;6 episódios;Adrian Dunbar,Áine Ní Mhuirí,Fin Campbell,Mark Stanley,Muna Otaru,Sam Rintoul,Sean Bean,Vanessa Earl,Ashley Pearce,Noreen Kershaw
Parceiros de Jogo;2015;Drama, Comédia;108 minutos;Alfre Woodard,Analeigh Tipton,Ben Mendelsohn,Lauren Gros,Robin Weigert,Ryan Reynolds,Sienna Miller,Thomas Francis Murphy,Anna Boden,Ryan Fleck
Sob a Névoa da Guerra;2003;Documentários, Biografia;106 minutos;Robert McNamara,Errol Morris
As Aventuras de Robinson Crusoé;2016;Animação, Aventura;90 minutos;Aylin Tezel,David Howard,Dieter Hallervorden,Ilka Bessin,Joey Camen,Kaya Yanar,Matthias Schweighöfer,Yuri Lowenthal,Ben Stassen,Vincent Kesteloot
Charlie e Lola - 2ª Temporada;2006;Animação, Infantil;26 episódios;Clementine Cowell,Daniel Mayers,Morgan Gayle,Ryan Harris,Kitty Taylor
O Reconciliador - Quando a Sua Única Esperança é Deus;2015;Suspense;86 minutos;Dan Davis,Frank Chiesurin,Hailey Hurley,Leo Lin,Levi Davis,Lindsay Lucas,Michaelle Blanchard,Scott Galbraith,Shawn Justice
Marjorie Prime;2017;Ficção Científica, Comédia, Drama;98 minutos;Bill Walters,Geena Davis,Hannah Gross,Jon Hamm,Leslie Lyles,Lois Smith,Stephanie Andujar,Tim Robbins,Michael Almereyda
Floresta Maldita;1952;Clássico, Aventura, Romance, Western;89 minutos;Alan Hale Jr.,Charles Meredith,Edgar Buchanan,Eve Miller,John Archer,Kirk Douglas,Patrice Wymore,Roy Roberts,Felix E. Feist
Robin Hood - 2ª Temporada;2007;Drama, Ação;13 episódios;Anjali Jay,Gordon Kennedy,Harry Lloyd,Joe Armstrong,Jonas Armstrong,Keith Allen,Lucy Griffiths,Michael Elwyn,Richard Armitage,Sam Troughton,Ciaran Donnelly,David Evans,James Erskine,Matthew Evans,Roger Goldby
REC 2 - Possuídos;2009;Terror, Suspense;84 minutos;Alejandro Casaseca,Andrea Ros,Ariel Casas,Jonathan D. Mellor,Óscar Zafra,Pablo Rosso,Pep Molina,Rafa Parra,Jaume Balagueró
The Secret River - A Conquista;2015;Drama, Aventura;82 minutos;Angus Pilakui,Finn Scicluna-O'Prey,Huw Higginson,Lachy Hulme,Oliver Jackson-Cohen,Rory Potter,Sarah Snook,Tim Minchin,Trevor Jamieson,Daina Reid
Eu Me Recuso ao Papel de Abajur;2013;Curta-Metragem;7 minutos;Ricardo Chreem,Ricardo Chreem
Estrangulado;2016;Suspense, Policial, Terror;115 minutos;Eszter Csépai,Károly Hajduk,Mónika Balsai,Peter Barnai,Zsolt Anger,Zsolt Trill,Árpád Sopsits
Victor e Leo - Ao Vivo em Floripa;2012;Shows, Sertanejo;113 minutos;Leo,Luciano,Paula Fernandes,Victor,Zezé Di Camargo,Alexandre Mello,Sérgio Bittencourt
Estranha Obsessão;2011;Suspense, Drama;83 minutos;Delphine Chuillot,Ethan Hawke,Jean-Louis Cassarino,Joanna Kulig,Julie Papillon,Kristin Scott Thomas,Mohamed Aroussi,Samir Guesmi,Pawel Pawlikowski
Escola de Princesinhas;2008;Infantil, Animação;40 minutos;Cláudia Victória,Elisa Vilon,Lene Bastos,Luciana Minei,Sidney Cesar,Thaina Almeida,Ale Mchaddo
Depois da Escuridão;2018;Drama, Ficção Científica;95 minutos;Christina Mandrell,Jeremy Childs,John Patrick Amedori,Kyra Sedgwick,Natalia Dyer,Roberto Aguire,Sam Daly,Tim Daly,Valorie Curry,Batan Silva
Renascido do Inferno;2009;Terror, Ficção Científica, Suspense;88 minutos;Alexandra Davies,Bree Robertson,Erin Chadwick,Ian McPhee,Johan Earl,Justin Aldridge,Maurie Barlin,Wayne Bradley,Andrew Miles
Os Normais;2003;Comédia, Romance;88 minutos;Evandro Mesquita,Fernanda Torres,Luiz Fernando Guimarães,José Alvarenga Jr.
Rampage 2 - A Punição;2014;Ação, Suspense;92 minutos;Brendan Fletcher,Bruce Blain,John Sampson,Lochlyn Munro,Michaela Mann,Mike Dopud,Nathan Lehfeldt,Uwe Boll
Lego Ninjago - Dia da Despedida;2016;Animação, Infantil;45 minutos;Brent Miller,Jillian Michaels,Kathleen Barr,Kelly Metzger,Kirby Morrow,Michael Adamthwaite,Paul Dobson,Vincent Tong,Peter Hausner
Alfa;2018;Aventura, Drama;96 minutos;Jens Hultén,Jóhannes Haukur Jóhannesson,Kodi Smit-McPhee,Leonor Varela,Marcin Kowalczyk,Mercedes de la Zerda,Natassia Malthe,Spencer Bogaert,Albert Hughes
Orquestra do Mundo 1ª Temporada;2019;Documentário;5 episódios;Não Disponível,Marcelo Abreu Góis
Antebellum;2020;Terror, Drama, Suspense;105 minutos;Achok Majak,Eric Lange,Gabourey Sidibe,Jack Huston,Janelle Monáe,Jena Malone,Kiersey Clemons,Marque Richardson,Christopher Renz,Gerard Bush
Entre Idas e Vindas;2016;Comédia, Drama, Romance;95 minutos;Alice Braga,Caroline Abras,Fabio Assunção,Ingrid Guimarães,João Assunção,Rosanne Mulholland,José Eduardo Belmonte
Palavra Cantada - Bafafá;2017;Shows, Infantil;45 minutos;Arnaldo Antunes,Marcos Suzano,Mestrinho,Monica Salmaso,Ná Ozzetti,Paulo Tatit,Sandra Peres,Swami Jr.,,Paulo Tatit,Sandra Peres
Um Dia de Chuva em Nova York;2019;Comédia, Romance;92 minutos;Annaleigh Ashford,Ben Warheit,Elle Fanning,Griffin Newman,Jude Law,Liev Schreiber,Selena Gomez,Timothée Chalamet,Woody Allen
Natureza Assassina;2018;Suspense, Crime, Terror;99 minutos;Andrew Murray,Jeff Doyle,Johnny Elliott,Patrick Murphy,Sam Lucas Smith,Saoirse Long,Sinead O'Riordan,Sue Walsh,Brian O'Neill,Paul Bushe
Que Medo! - As Pintas do Júnior;2014;Ficção, Animação, Curta-Metragem, Infantil;3 minutos;Humberto Avelar,Monica Martins,Humberto Avelar
Implacável;2019;Ação, Policial;87 minutos;Craig Fairbrass,Daniel Adegboyega,Kierston Wareing,Louis Mandylor,Nick Moran,Scott Adkins,Terence Maynard,Thomas Turgoose,Jesse V. Johnson
SHYLIGHT;2015;Curta-Metragem, Cinema;5 minutos;"RALPH NAUTA; LONNEKE GORDIJN,RALPH NAUTA; LONNEKE GORDIJN"
Lembranças;2010;Drama, Romance;112 minutos;Chris Cooper,Emilie de Ravin,Kevin P. McCarthy,Lena Olin,Moisés Acevedo,Pierce Brosnan,Robert Pattinson,Tate Ellington,Allen Coulter
Estás Me Matando Susana;2017;Comédia, Drama, Romance;102 minutos;Adam Hurtig,Andrés Almeida,Ashley Hinshaw,Björn Hlynur Haraldsson,Gael García Bernal,Jadyn Wong,Tristan Carlucci,Verónica Echegui,Roberto Sneider
As Histórias de Jonathan Sperry;2008;Drama, Fé e Espiritualidade;96 minutos;Allen Isaacson,Bailey Garno,Frankie Ryan Manriquez,Gavin MacLeod,Jansen Panettiere,Kristina Jewell,Robert Guillaume,Taylor Boggan,Rich Christiano
Harry Potter e a Ordem da Fênix;2007;Aventura, Drama;138 minutos;Daniel Radcliffe,Emma Watson,Gary Oldman,Helena Bonham,Imelda Staunton,Ralph Fiennes,Robbie Coltrane,Rupert Grint,David Yates
Desejos Ocultos;2019;Ficção Científica, Suspense;95 minutos;Addison Timlin,Drew Van Acker,Hilary Barraford,James D'Arcy,Lisann Valentin,Mark Famiglietti,Steven Strait,Zealand Tallman,Josh Janowicz
Abigail e a Cidade Proibida;2019;Aventura, Ficção Científica;110 minutos;Artyom Tkachenko,Eddie Marsan,Gleb Bochkov,Kseniya Kutepova,Marta Timofeeva,Ravshana Kurkova,Rinal Mukhametov,Tinatin Dalakishvili,Aleksandr Boguslavskiy
Camuflagem;2001;Comédia, Ação, Aventura;96 minutos;Frank Collison,Leslie Nielsen,Lochlyn Munro,Patrick Warburton,Suzanne Krull,Tom Aldredge,Vanessa Angel,William Forsythe,James Keach
Aconteceu Naquela Noite;1934;Clássico, Comédia, Romance;105 minutos;Alan Hale,Blanche Frederici,Clark Gable,Claudette Colbert,Jameson Thomas,Roscoe Karns,Walter Connolly,Ward Bond,Frank Capra
Restos;1975;Documentários;10 minutos;Não Disponível,João Batista de Andrade
Shazam!;2019;Ação, Aventura, Comédia;131 minutos;Adam Brody,Asher Angel,Djimon Hounsou,Jack Dylan Grazer,Mark Strong,Meagan Good,Zachary Levi,David F. Sandberg
Faltam Duas Quadras;2011;Curta-Metragem, Drama, Ficção;14 minutos;Bellatrix Carrijo,Leonardo Batista,Jarleo Barbosa
Um Homem Comum;2017;Drama, Suspense;90 minutos;Ben Kingsley,Hera Hilmar,Peter Serafinowicz,Robert Blythe,Brad Silberling
Lobo Guerreiro 2;2017;Ação, Drama, Suspense;123 minutos;Celina Jade,Frank Grillo,Gang Wu,Hans Zhang,Jing Wu,Nan Yu,Qian Yu,Shanshan Chunyu,Jing Wu
Coco Antes de Chanel;2009;Drama, Romance;109 minutos;Alessandro Nivola,Audrey Tautou,Benoît Poelvoorde,Emmanuelle Devos,Etienne Bartholomeus,Marie Gillain,Régis Royer,Yan Duffas,Anne Fontaine
Lore;2012;Drama, Romance;108 minutos;André Frid,Hans-Jochen Wagner,Mika Seidel,Mike Weidner,Nele Trebs,Nick Holaschke,Saskia Rosendahl,Ursina Lardi,Cate Shortland
Cães Estelares;2018;Animação, Infantil;70 minutos;Ingrid West,Joachim Cruise,Luka Pilar,Jason Wright
As Pontes de Madison;1995;Drama, Romance;134 minutos;Annie Corley,Christopher Kroon,Clint Eastwood,Jim Haynie,Meryl Streep,Phyllis Lyons,Sarah Kathryn Schmitt,Victor Slezak,Clint Eastwood
A Corrente;2014;Drama, Drama, Fé e Espiritualidade, Filme;85 minutos;B. Pradenton Harper,Blade Yocum,Chari Eckmann,Dariush Moslemi,David Daniel Harper,Jade Cook,Jana K. Lensing,William Studer,Nikita Zubarev
A Extorsão;1975;Policial, Crime, Drama, Suspense;96 minutos;Carlos Gregório,Carlos Kroeber,Emiliano Queiroz,Marcos Wainberg,Otávio Augusto,Paulo Cesar Pereio,Roberto Bonfim,Suzana Faini,Flávio R. Tambellini
Mãeana no MAM;2014;Shows, MPB;86 minutos;Mãeana,André Michiles,Rafael Silva
Toque de Recolher;2006;Drama, Suspense;95 minutos;David Richard's,Jon Huertas,Mary McCormack,Max Kasch,Nina Barry,Rory Cochrane,Scotty Noyd Jr.,Tony Perez,Chris Gorak
Crisis - Esquadrão Especial de Segurança - 1ª Temporada;2017;Ação, Suspense;10 episódios;Hidetoshi Nishijima,Kisuke Iida,Kyôzô Nagatsuka,Shun Oguri,Tetsushi Tanaka,Tôru Nomaguchi,Yûko Araki,Yuriko Ishida,Keiichiro Shiraki,Kosuke Suzuki
Enquanto Estivermos Juntos;2020;Drama, Biografia, Musical, Romance;116 minutos;Abigail Cowen,Britt Robertson,Gary Sinise,K.J. Apa,Melissa Roxburgh,Nathan Parsons,Reuben Dodd,Shania Twain,Andrew Erwin,Jon Erwin
Quarto de Letus;2018;Drama, Curta-Metragem;14 minutos;Clemente Vascaino,Marcello Crawshaw,Marco Birnfeld
O Mercador de Veneza;2004;Drama, Romance;131 minutos;Al Pacino,Charlie Cox,Heather Goldenhersh,Jeremy Irons,Joseph Fiennes,Kris Marshall,Lynn Collins,Zuleikha Robinson,Michael Radford
Os eXplorados;2018;Crime, Suspense;109 minutos;Abigél Szõke,Áron Molnár,Juli Básti,Kata Purt,Krisztián Csákvári,Mónika Balsai,Renátó Olasz,Zsófia Bujáki,Károly Ujj Mészáros
A Cor do Som - Acústico;2005;Shows, Pop Nacional, Rock Nacional;49 minutos;Armandinho,Ary Dias,Dadi,Gustavo Schroeter,Jorge Gomes,Jorge Helder,Marcos Nimrichter,Mú Carvalho,Sérgio de Carvalho
Mistérios - Especial Diabo na Bíblia;2015;Fé e Espiritualidade, Documentário;18 minutos;Felipe Ohno,Luciano de Souza,Leandro Rocha
Eu Só Quero é Ser Feliz – Uma Breve História do Funk Carioca;2016;Documentário, Curta-Metragem;26 minutos;Não Disponível,André Fernandes
Elstree 1976 - O Lado Anônimo da Força;2015;Documentários;101 minutos;Angus MacInnes,Anthony Forrest,Derek Lyons,Garrick Hagon,Jeremy Bulloch,John Chapman,Laurie Goode,Paul Blake,Jon Spira
Scooby-Doo e Batman - Os Bravos e Destemidos;2017;Animação, Comédia;75 minutos;Diedrich Bader,Grey DeLisle,Jeffrey Combs,John Michael Higgins,Kate Micucci,Matthew Lillard,Nicholas Guest,Tara Strong,Tom Kenny,Jake Castorena
Turma da Mônica - Cine Gibi - Volume 4 - Meninos e Meninas;2009;Animação, Infantil;7 episódios;Angelica Santos,Elza Gonçalves,Marli Bortoletto,Paulo Cavalcante,Maurício de Sousa
A Grande Comédia;1989;Comédia, Drama, Romance;102 minutos;Alice Hirson,Emily Longstreth,Fran Descher,Jennifer Jason Leigh,Kevin Bacon,Michael McKean,Roddy McDowall,Teri Hatcher,Christopher Guest
Aposta na Vingança;2017;Aventura, Drama;117 minutos;Andrea Petrik,Ernõ Fekete,Ervin Nagy,József Gyabronka,Péter Scherer,Tamás Keresztes,Tibor Gaspar,Zoltán Rátóti,Gabor Herendi
Cuba Entre Sol e Luz;2019;Documentários;51 minutos;Alejandro Nolasco,Simone Mesquita,Simone Mesquita
Escobar - A Traição;2017;Biografia, Ação, Policial;122 minutos;Fredy Yate,Javier Bardem,Juan Sebastián Calero,Julieth Restrepo,Óscar Jaenada,Penélope Cruz,Peter Sarsgaard,Fernando León de Aranoa
Mundo Maior Repórter - Depressão;2013;Fé e Espiritualidade, Documentário;50 minutos;Não Disponível,Felipe Ohno
Olhar Estrangeiro;2005;Documentários;69 minutos;Não Disponível,Lucia Murat
Invasores - Nenhum Sistema Está Salvo;2014;Ação, Crime, Drama, Ficção Científica, Mistério, Suspense;101 minutos;Antoine Monot Jr.,Elyas M'Barek,Hannah Herzsprung,Katharina Matz,Leopold Hornung,Tom Schilling,Trine Dyrholm,Wotan Wilke Möhring,Baran bo Odar
O Mensageiro;2015;Drama, Fé e Espiritualidade;90 minutos;Christy Edwards,Dennis Doyle Jr.,Gary Bosek,Mitchell Biggs,Patricia Lynne Carlton,Patricia Lynne Cissell,Stephan Brown,Tiffany Burns,Gary Bosek
Cura Natural;2016;Documentários;77 minutos;Christy Garner,Edgar D. Mitchell,Gaetan Chevalier,Howard Straus,James Oschman,Joseph Mercola,Laura Koniver,Stephen Sinatra,Steve Kroschel
Cuidado Lola! - 1ª Temporada;2016;Drama;6 episódios;Geoffrey Newland,Jan Korander,Julia Korander,Mimosa Willamo,Não Disponível
Ouro Verde - 2ª Temporada;2017;Comédia, Drama;131 episódios;Ana Sofia Martins,Ângelo Torres,Cassiano Carneiro,Dina Félix Costa,Diogo Morgado,Fernando Pires,Joana de Verona,Luís Esparteiro,Manuela Couto,Pedro Carvalho,Pedro Hossi,Rui Mendes,Sílvia Pfeifer,Sofia Grilo,Zezé Motta,Hugo de Sousa
Maglore - Ao Vivo;2019;Shows, Pop Nacional;99 minutos;Maglore,Rodrigo Nascimento
Praça do Skate - A Primeira Pista da América Latina;2014;Documentários;44 minutos;Alexandre Calmon,Bob Burnkist,Don Bostick,Flávio Badenes,Henrique Reina,Humberto Martins,João Lubanco,Sergio China,Paulo China
